Date,GHI
2020-08-02 00:00:00,3.128775
2020-08-03 00:00:00,3.270375
2020-08-04 00:00:00,3.911008333
2020-08-05 00:00:00,4.348208333
2020-08-06 00:00:00,4.216683333
2020-08-07 00:00:00,4.42375
2020-08-08 00:00:00,4.228008333
2020-08-09 00:00:00,3.826891667
2020-08-10 00:00:00,4.77865
2020-08-11 00:00:00,5.032291667
2020-08-12 00:00:00,2.374025
2020-08-13 00:00:00,3.296125
2020-08-14 00:00:00,5.338333333
2020-08-15 00:00:00,6.542925
2020-08-16 00:00:00,6.588108333
2020-08-17 00:00:00,5.805491667
2020-08-18 00:00:00,4.6093
2020-08-19 00:00:00,4.504258333
2020-08-20 00:00:00,4.920458333
2020-08-21 00:00:00,5.852966667
2020-08-22 00:00:00,5.7299
2020-08-23 00:00:00,5.770433333
2020-08-24 00:00:00,6.372925
2020-08-25 00:00:00,6.375016667
2020-08-26 00:00:00,5.904958333
2020-08-27 00:00:00,6.356391667
2020-08-28 00:00:00,6.098608333
2020-08-29 00:00:00,6.4524
2020-08-30 00:00:00,4.734875
2020-08-31 00:00:00,6.173716667
2020-09-01 00:00:00,3.607716667
2020-09-02 00:00:00,5.848
2020-09-03 00:00:00,5.022025
2020-09-04 00:00:00,6.7933
2020-09-05 00:00:00,5.315975
2020-09-06 00:00:00,5.303933333
2020-09-07 00:00:00,6.947316667
2020-09-08 00:00:00,5.245983333
2020-09-09 00:00:00,3.982816667
2020-09-10 00:00:00,4.208775
2020-09-11 00:00:00,6.204075
2020-09-12 00:00:00,4.825333333
2020-09-13 00:00:00,3.430558333
2020-09-14 00:00:00,3.86695
2020-09-15 00:00:00,5.83625
2020-09-16 00:00:00,5.193391667
2020-09-17 00:00:00,4.751516667
2020-09-18 00:00:00,3.082125
2020-09-19 00:00:00,1.961641667
2020-09-20 00:00:00,5.438716667
2020-09-21 00:00:00,5.726066667
2020-09-22 00:00:00,5.455016667
2020-09-23 00:00:00,5.434108333
2020-09-24 00:00:00,6.261908333
2020-09-25 00:00:00,3.901775
2020-09-26 00:00:00,3.824825
2020-09-27 00:00:00,3.45985
2020-09-28 00:00:00,3.970241667
2020-09-29 00:00:00,4.564616667
2020-09-30 00:00:00,5.392108333
2020-10-01 00:00:00,4.0125
2020-10-02 00:00:00,2.411141667
2020-10-03 00:00:00,5.345891667
2020-10-04 00:00:00,4.904075
2020-10-05 00:00:00,3.05
2020-10-06 00:00:00,3.399941667
2020-10-07 00:00:00,1.767241667
2020-10-08 00:00:00,4.223466667
2020-10-09 00:00:00,1.825283333
2020-10-10 00:00:00,2.645533333
2020-10-11 00:00:00,2.573858333
2020-10-12 00:00:00,4.169058333
2020-10-13 00:00:00,4.326308333
2020-10-14 00:00:00,2.54325
2020-10-15 00:00:00,2.999
2020-10-16 00:00:00,2.124833333
